# execute_model #25..#32 (共 8 步)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.740ms         0.70%       9.740ms       7.805us          1248  
void at::native::vectorized_templated_elementwise_ke...         0.00%       0.000us         0.00%       0.000us       0.000us       9.485ms         0.68%       9.485ms      56.461us           168  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       8.634ms         0.62%       8.634ms      14.391us           600  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us       7.031ms         0.51%       7.031ms       5.598us          1256  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       6.659ms         0.48%       6.659ms       5.268us          1264  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us       6.334ms         0.46%       6.334ms      10.557us           600  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       6.236ms         0.45%       6.236ms       7.804us           799  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.092ms         0.44%       6.092ms       9.763us           624  
void at::native::warptopk::warpMergeSortTopK<1, 1, 6...         0.00%       0.000us         0.00%       0.000us       0.000us       5.808ms         0.42%       5.808ms       9.680us           600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.439ms         0.39%       5.439ms       4.358us          1248  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us       5.251ms         0.38%       5.251ms       8.415us           624  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.121ms         0.37%       5.121ms       6.466us           792  
                           _dcp_a2a_pack_send_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.777ms         0.34%       4.777ms       7.655us           624  
                                              kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.649ms         0.34%       4.649ms       7.356us           632  
                      _dcp_a2a_unpack_combine_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.634ms         0.33%       4.634ms       7.426us           624  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       4.216ms         0.30%       4.216ms       6.756us           624  
triton_per_fused__to_copy_div_gather_sigmoid_sum_3.k...         0.00%       0.000us         0.00%       0.000us       0.000us       4.034ms         0.29%       4.034ms       6.724us           600  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       4.013ms         0.29%       4.013ms       6.431us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.874ms         0.28%       3.874ms       4.748us           816  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us       3.740ms         0.27%       3.740ms       6.233us           600  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.652ms         0.26%       3.652ms       5.853us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.548ms         0.26%       3.548ms       4.440us           799  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.470ms         0.25%       3.470ms       4.381us           792  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.320ms         0.24%       3.320ms       5.321us           624  
void rocprim::ROCPRIM_400200_NS::detail::trampoline_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.159ms         0.23%       3.159ms       4.701us           672  
void vllm::concat_and_cache_mla_kernel<__hip_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       2.993ms         0.22%       2.993ms       4.796us           624  
void rocprim::ROCPRIM_400200_NS::detail::trampoline_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.969ms         0.21%       2.969ms      17.673us           168  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.898ms         0.21%       2.898ms       4.644us           624  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.890ms         0.21%       2.890ms       4.817us           600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.876ms         0.21%       2.876ms       4.608us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.852ms         0.21%       2.852ms       4.513us           632  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.852ms         0.21%       2.852ms       4.570us           624  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.806ms         0.20%       2.806ms       4.497us           624  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.788ms         0.20%       2.788ms       4.469us           624  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.786ms         0.20%       2.786ms       4.464us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.762ms         0.20%       2.762ms       4.427us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.745ms         0.20%       2.745ms       4.399us           624  
                           fetch_id_to_ragged_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.730ms         0.20%       2.730ms       4.374us           624  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.723ms         0.20%       2.723ms       4.363us           624  
                              triton_poi_fused_sum_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.645ms         0.19%       2.645ms       4.409us           600  
            triton_poi_fused_add_sigmoid_unsqueeze_0.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.635ms         0.19%       2.635ms       4.392us           600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.635ms         0.19%       2.635ms       4.222us           624  
triton_poi_fused__to_copy_arange_bitwise_not_eq_expa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.512ms         0.18%       2.512ms       4.187us           600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.469ms         0.18%       2.469ms      14.697us           168  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.154ms         0.16%       2.154ms       3.590us           600  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.516s
Self CUDA time total: 1.386s
