# execute_model #25..#32 (共 8 步)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us     523.659ms        37.71%     523.659ms     254.698us          2056  
                            triton_w4a16_gemm_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     282.097ms        20.32%     282.097ms     135.104us          2088  
Cijk_Alik_Bljk_BSS_BH_UserArgs_MT64x16x16_MI16x16x1_...         0.00%       0.000us         0.00%       0.000us       0.000us      96.795ms         6.97%      96.795ms     161.325us           600  
                  _sparse_attn_prefill_ragged_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us      88.801ms         6.40%      88.801ms     142.309us           624  
                                        _gemv_moe_v3.kd         0.00%       0.000us         0.00%       0.000us       0.000us      28.818ms         2.08%      28.818ms      48.031us           600  
void at::native::warptopk::warpMergeSortTopK<1, 1, 2...         0.00%       0.000us         0.00%       0.000us       0.000us      22.123ms         1.59%      22.123ms      18.436us          1200  
                           fused_moe_kernel_gptq_awq.kd         0.00%       0.000us         0.00%       0.000us       0.000us      19.117ms         1.38%      19.117ms      31.861us           600  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x1...         0.00%       0.000us         0.00%       0.000us       0.000us      19.080ms         1.37%      19.080ms      30.576us           624  
                             __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us      18.813ms         1.35%      18.813ms       4.292us          4383  
               _dsv41_paged_mqa_logits_gfx90a_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us      15.462ms         1.11%      15.462ms      92.034us           168  
_ZN4vllm18act_and_mul_kernelIN3c108BFloat16E15__hip_...         0.00%       0.000us         0.00%       0.000us       0.000us      14.877ms         1.07%      14.877ms      12.155us          1224  
void wvSplitK_hf_sml_<__hip_bfloat16, 64, 2, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.521ms         1.05%      14.521ms      12.021us          1208  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      14.317ms         1.03%      14.317ms       7.648us          1872  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us      12.532ms         0.90%      12.532ms      20.083us           624  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      10.770ms         0.78%      10.770ms       8.630us          1248  
