# execute_model #25..#32 (共 8 步)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us     540.241ms        38.93%     540.241ms     262.763us          2056  
                            triton_w4a16_gemm_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     275.387ms        19.84%     275.387ms     131.891us          2088  
Cijk_Alik_Bljk_BSS_BH_UserArgs_MT64x16x16_MI16x16x1_...         0.00%       0.000us         0.00%       0.000us       0.000us      92.333ms         6.65%      92.333ms     153.889us           600  
                  _sparse_attn_prefill_ragged_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us      89.857ms         6.48%      89.857ms     144.001us           624  
                                        _gemv_moe_v3.kd         0.00%       0.000us         0.00%       0.000us       0.000us      28.990ms         2.09%      28.990ms      48.317us           600  
void at::native::warptopk::warpMergeSortTopK<1, 1, 2...         0.00%       0.000us         0.00%       0.000us       0.000us      21.441ms         1.55%      21.441ms      17.867us          1200  
                           fused_moe_kernel_gptq_awq.kd         0.00%       0.000us         0.00%       0.000us       0.000us      19.097ms         1.38%      19.097ms      31.828us           600  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x1...         0.00%       0.000us         0.00%       0.000us       0.000us      18.950ms         1.37%      18.950ms      30.369us           624  
                             __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us      18.674ms         1.35%      18.674ms       4.260us          4383  
               _dsv41_paged_mqa_logits_gfx90a_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us      15.594ms         1.12%      15.594ms      92.821us           168  
void wvSplitK_hf_sml_<__hip_bfloat16, 64, 2, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.519ms         1.05%      14.519ms      12.019us          1208  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      13.453ms         0.97%      13.453ms       7.186us          1872  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us      12.787ms         0.92%      12.787ms      20.492us           624  
std::enable_if<(((8)>(0)))&&_typeConvert<c10::BFloat...         0.00%       0.000us         0.00%       0.000us       0.000us      11.013ms         0.79%      11.013ms       8.824us          1248  
_ZN4vllm18act_and_mul_kernelIN3c108BFloat16E15__hip_...         0.00%       0.000us         0.00%       0.000us       0.000us      10.580ms         0.76%      10.580ms       8.644us          1224  
